year,president,party,billionaire,billionaires,cash,class,consumer,consumers,crash,crashes,debt,demand,downturn,economic,economics,economy,employment,exchange,finance,financial,gdp,goods,growth,inflation,job,jobs,loan,loans,market,markets,millionaire,millionaires,paycheck,paychecks,pension,pensions,pocketbook,poor,poverty,price,prices,recession,retire,retirement,rich,saving,stock,stocks,tax,taxes,trade,unemployed,unemployment,economy_total,speech_total,percent_economy
1895,Cleveland,Democratic,0,0,0,2,0,0,0,0,12,19,0,2,0,0,0,11,2,19,0,0,3,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,1,2,0,6,0,9,0,0,127,14671,0.86565333
1896,Cleveland,Democratic,0,0,0,21,1,1,0,0,7,14,0,3,0,10,1,2,1,7,0,5,2,0,0,0,1,1,7,5,0,0,0,0,16,6,0,0,0,3,2,0,2,1,1,4,3,0,6,0,3,0,0,136,15443,0.880657903
1897,McKinley,Republican,0,0,1,7,0,0,0,0,13,13,0,1,0,0,1,4,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,1,1,0,5,0,0,59,12110,0.487200661
1898,McKinley,Republican,0,0,1,9,0,0,0,0,11,18,0,0,0,0,1,8,2,0,0,1,2,0,0,0,2,0,6,4,0,0,0,0,5,3,0,0,0,3,0,0,0,0,1,1,0,0,3,1,12,0,0,94,20208,0.465162312
1899,McKinley,Republican,0,0,6,4,2,1,0,0,4,6,0,3,0,2,3,8,0,2,0,3,3,0,0,0,3,1,10,5,0,0,0,0,16,5,0,0,0,6,3,0,2,0,1,1,0,0,2,0,22,0,0,124,15133,0.819401308
1900,McKinley,Republican,0,0,3,8,0,0,0,0,1,9,0,0,0,3,1,3,0,2,0,6,6,0,0,0,1,0,3,3,0,0,0,0,7,3,0,0,0,1,0,0,0,0,2,2,0,0,8,4,25,0,0,101,19134,0.527856172
1901,Roosevelt,Republican,0,0,0,6,0,0,0,0,1,15,0,9,0,3,1,2,0,3,0,2,7,0,1,0,0,0,12,8,0,0,0,0,0,0,0,2,0,2,0,0,1,1,4,1,5,0,2,1,13,0,0,102,19595,0.520540954
1902,Roosevelt,Democratic,0,0,0,5,0,0,0,0,0,6,0,9,0,0,1,0,0,3,0,0,5,0,0,0,0,0,5,2,0,0,0,0,0,0,0,4,0,0,0,0,1,1,5,1,3,0,0,0,3,0,0,54,9756,0.553505535
1903,Roosevelt,Republican,0,0,1,8,0,0,0,0,0,12,0,1,0,4,3,3,0,1,0,1,2,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,2,0,2,1,8,0,0,58,14876,0.389889755
1904,Roosevelt,Democratic,0,0,0,11,0,0,0,0,0,3,0,1,0,2,4,1,1,2,0,0,4,0,0,0,0,0,3,2,0,0,0,0,1,0,0,8,1,1,0,0,2,2,3,3,2,0,1,0,10,0,0,68,17406,0.390669884
1905,Roosevelt,Democratic,0,0,0,26,1,0,0,0,7,10,0,5,0,6,8,0,2,3,0,6,9,2,0,0,0,0,3,2,0,0,0,0,4,1,0,4,0,4,1,0,3,2,8,4,2,1,5,3,13,0,0,145,25033,0.579235409
1906,Roosevelt,Republican,0,0,0,15,2,2,0,0,8,3,0,3,0,4,4,0,0,2,0,0,8,0,0,0,0,0,3,2,0,0,0,0,0,0,0,4,0,1,0,0,2,0,7,1,3,0,40,3,15,0,0,132,23575,0.559915164
1907,Roosevelt,Democratic,0,0,1,20,1,0,0,0,7,15,0,3,0,2,4,3,0,0,0,5,9,2,1,0,2,0,5,1,0,0,0,0,0,0,0,0,0,5,1,0,3,0,2,9,12,3,38,7,17,0,0,178,27382,0.650062085
1908,Roosevelt,Democratic,0,0,0,25,0,0,0,0,5,7,0,5,0,3,2,1,2,4,0,1,7,0,0,0,1,0,4,1,1,1,0,0,1,1,0,5,0,0,0,0,3,1,8,14,7,1,9,3,2,2,0,127,19383,0.655213331
1909,Taft,Republican,0,0,0,12,0,0,0,0,3,1,0,2,0,8,1,6,1,3,0,1,2,0,0,0,4,0,2,1,0,0,0,0,5,5,0,0,0,7,6,0,2,1,0,13,1,0,1,0,11,0,0,99,13889,0.712794298
1910,Taft,Republican,0,0,0,0,0,0,0,0,2,1,0,3,0,3,0,2,3,1,0,0,0,0,0,0,11,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,43,6763,0.635812509
1911,Taft,Republican,0,0,0,13,3,1,0,0,8,4,0,9,0,15,2,3,1,11,0,12,5,0,0,0,12,3,8,2,0,0,0,0,3,1,0,0,0,22,17,0,2,2,1,2,17,0,2,0,39,0,0,220,23704,0.928113399
1912,Taft,Republican,0,0,1,10,1,1,0,0,6,13,0,8,0,4,1,3,4,16,0,0,6,0,0,0,12,2,7,4,0,0,0,0,2,0,0,1,0,3,2,0,1,1,0,5,6,0,6,1,31,0,0,158,25150,0.628230616
1913,Wilson,Democratic,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3552,0.281531532
1914,Wilson,Democratic,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,0,0,0,0,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,9,0,0,30,4533,0.661813369
1915,Wilson,Democratic,0,0,0,5,0,0,0,0,2,2,0,10,0,0,1,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,15,5,5,0,0,59,7686,0.767629456
1916,Wilson,Democratic,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6,2117,0.283419934
1917,Wilson,Democratic,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,2,0,0,17,3913,0.434449272
1918,Wilson,Democratic,0,0,0,0,0,0,0,0,1,1,0,2,0,1,2,0,0,3,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,6,3,4,0,0,34,5465,0.622140897
1919,Wilson,Democratic,0,0,0,8,0,0,0,0,1,4,0,8,0,1,3,0,0,0,0,7,1,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,1,5,2,1,0,0,0,0,0,0,7,5,4,0,2,68,4755,1.430073607
1920,Wilson,Democratic,0,0,0,1,0,0,0,0,10,1,0,1,0,2,1,0,2,1,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,9,4,0,0,0,48,2705,1.774491682
1921,Harding,Republican,0,0,0,2,1,0,0,0,9,0,0,6,0,0,7,3,3,2,0,0,1,0,0,0,3,2,3,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,4,0,7,0,10,1,1,72,5604,1.284796574
1922,Harding,Republican,0,0,0,1,3,1,0,0,2,14,0,4,0,2,3,1,1,2,0,0,1,1,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,1,2,0,4,0,1,0,1,58,5744,1.009749304
1923,Coolidge,Republican,0,0,0,6,0,0,0,0,6,0,0,6,0,2,2,2,3,3,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,1,0,8,2,0,0,0,0,0,1,0,13,8,3,0,0,72,6701,1.074466498
1924,Coolidge,Republican,0,0,0,4,0,0,0,0,9,0,0,14,0,9,3,0,1,2,0,0,1,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,7,3,0,1,1,1,3,0,0,21,7,3,0,0,98,6964,1.40723722
1925,Coolidge,Republican,0,0,1,6,0,0,0,0,21,1,0,15,0,10,2,2,0,3,0,0,2,0,0,0,3,1,6,1,0,0,0,0,3,2,0,1,1,10,6,0,7,5,2,2,0,0,26,5,5,0,0,149,10843,1.374158443
1926,Coolidge,Republican,0,0,0,2,1,1,0,0,9,2,0,11,1,7,4,0,2,2,0,3,1,0,0,0,4,2,8,1,0,0,0,0,3,1,0,0,0,8,3,0,6,4,0,2,4,0,30,9,2,0,1,134,10308,1.299961195
1927,Coolidge,Republican,0,0,0,0,0,0,0,0,7,2,0,6,1,5,3,0,10,4,0,1,1,0,0,0,5,1,14,2,0,0,0,0,1,1,0,2,0,7,2,0,1,1,1,2,6,1,18,3,2,0,0,110,8777,1.253275607
1928,Coolidge,Republican,0,0,1,2,0,0,0,0,7,7,0,10,0,8,2,1,1,2,0,1,1,0,0,0,4,3,5,0,0,0,0,0,3,0,0,0,1,5,1,0,4,4,0,3,2,0,14,3,6,0,0,101,8060,1.253101737
1929,Hoover,Republican,0,0,1,1,0,0,3,1,7,1,0,11,0,3,10,0,2,3,0,1,5,1,0,0,2,2,14,3,0,0,0,0,2,1,0,1,1,5,5,0,1,1,1,0,5,1,13,2,3,0,3,116,10993,1.055216956
1930,Hoover,Republican,0,0,1,1,2,1,0,0,2,3,0,15,0,1,20,0,1,5,0,2,0,1,1,0,4,2,1,1,0,0,0,0,0,0,0,0,0,11,6,0,1,1,1,1,1,0,11,2,1,4,6,110,4546,2.419709635
1931,Hoover,Republican,0,0,1,0,0,0,0,0,10,1,0,16,0,1,22,0,7,15,0,1,2,2,0,0,10,5,6,4,0,0,0,0,0,0,0,0,0,5,4,0,5,4,2,4,0,0,11,5,0,0,13,156,5686,2.743580725
1932,Hoover,Republican,0,0,0,0,0,0,0,0,3,2,0,23,0,3,8,3,5,6,0,1,0,1,0,0,11,6,0,0,0,0,0,0,2,0,0,0,0,5,4,0,0,0,0,2,1,0,6,3,2,0,3,100,4210,2.375296912
1934,Roosevelt,Republican,0,0,0,0,2,2,0,0,5,1,0,2,0,1,4,3,1,2,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,2,2,0,0,0,1,1,1,0,1,0,5,1,2,45,2223,2.024291498
1935,Roosevelt,Republican,0,0,1,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,6,3,36,3515,1.024182077
1936,Roosevelt,Democratic,0,0,0,0,1,1,0,0,1,0,0,4,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,2,0,5,4,2,3,0,33,3810,0.866141732
1937,Roosevelt,Democratic,0,0,0,0,0,0,0,0,0,2,0,3,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,4,23,2730,0.842490842
1938,Roosevelt,Democratic,0,0,0,2,0,0,0,0,1,4,0,11,1,0,2,0,3,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,1,9,6,2,0,0,0,0,0,0,11,4,1,1,0,67,4677,1.432542228
1939,Roosevelt,Republican,0,0,1,1,1,1,0,0,3,0,0,5,0,2,6,0,1,1,0,1,0,0,1,0,0,0,2,2,0,0,0,0,1,1,0,0,0,4,0,1,0,0,1,1,0,0,8,4,0,1,3,53,3736,1.41862955
1940,Roosevelt,Democratic,0,0,0,2,0,0,1,0,0,2,0,7,0,0,4,0,0,1,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,13,2,3,46,3170,1.451104101
1941,Roosevelt,Republican,0,0,1,0,0,0,1,0,0,2,0,4,0,1,2,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,1,27,3288,0.821167883
1942,Roosevelt,Republican,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,9,3470,0.259365994
1943,Roosevelt,Republican,0,0,0,0,0,0,0,0,0,1,0,7,0,1,6,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,23,4533,0.507390249
1944,Roosevelt,Democratic,0,0,0,0,1,0,1,0,0,6,0,5,0,2,2,0,0,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,5,0,1,1,1,0,0,0,4,0,2,0,1,46,3755,1.225033289
1945,Roosevelt,Democratic,0,0,0,2,1,1,0,0,1,7,0,4,0,3,8,0,2,0,0,0,1,0,20,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,5,1,5,0,1,82,8124,1.009354998
1946,Truman,Democratic,0,0,12,4,20,9,2,0,31,25,0,55,0,30,62,2,18,13,0,20,3,25,15,5,27,16,13,5,0,0,0,0,4,4,0,0,0,67,34,0,1,1,4,19,4,3,30,5,19,9,18,634,27722,2.28699228
1947,Truman,Democratic,0,0,0,1,0,0,0,0,4,2,0,14,0,11,4,0,1,3,0,3,1,0,2,0,1,1,3,3,0,0,0,0,1,1,0,0,0,14,10,0,2,1,0,0,0,0,1,0,3,0,1,88,6033,1.458644124
1948,Truman,Democratic,0,0,0,0,1,1,0,0,0,2,0,24,0,6,7,0,1,4,0,3,3,11,3,3,0,0,3,1,0,0,0,0,0,0,0,0,2,16,10,0,0,0,3,1,1,0,19,3,5,0,2,135,5091,2.651738362
1949,Truman,Democratic,0,0,0,0,2,0,0,0,1,3,0,7,0,9,3,1,0,1,0,1,1,3,2,1,1,1,3,1,0,0,0,0,0,0,0,0,1,13,3,2,0,0,1,0,0,0,3,2,1,0,1,68,3397,2.001766264
1950,Truman,Democratic,0,0,0,0,2,2,0,0,0,1,2,20,0,9,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,2,0,0,0,2,0,0,0,2,0,4,0,3,75,5126,1.463129146
1951,Truman,Democratic,0,0,0,1,1,0,0,0,0,1,0,12,0,5,1,0,0,0,0,2,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,38,3988,0.952858576
1952,Truman,Democratic,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,1,0,5,1,4,8,3,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,0,0,0,0,1,0,0,5,2,0,0,0,50,5334,0.937382827
1953,Truman,Democratic,0,0,1,0,0,0,0,0,4,1,0,28,0,6,1,0,2,0,0,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,2,0,0,55,9599,0.572976352
1954,Eisenhower,Republican,0,0,0,0,2,1,0,0,4,3,0,20,0,9,3,0,1,1,0,1,6,1,0,0,2,2,7,4,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,3,4,2,25,6,6,0,2,122,5974,2.042182792
1955,Eisenhower,Republican,0,0,1,1,2,0,0,0,1,2,0,25,0,14,7,1,0,0,0,2,8,2,3,2,0,0,5,4,0,0,0,0,1,1,0,0,0,2,2,0,4,4,1,3,3,1,9,2,4,0,4,121,7234,1.672656898
1956,Eisenhower,Republican,0,0,0,1,0,0,0,0,4,5,0,21,0,12,4,1,3,4,0,0,4,3,4,1,1,0,8,7,0,0,0,0,3,1,0,0,1,7,4,0,2,2,2,3,1,1,11,3,11,0,4,139,8245,1.685870224
1957,Eisenhower,Republican,0,0,0,1,0,0,0,0,0,6,0,9,0,12,0,0,0,4,0,0,3,5,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,8,2,0,1,1,1,1,1,1,1,0,5,0,0,67,4129,1.622668927
1958,Eisenhower,Republican,0,0,0,1,0,0,0,0,1,6,0,19,0,3,2,2,2,0,0,0,3,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,0,0,55,4911,1.11993484
1959,Eisenhower,Republican,0,0,0,0,1,1,0,0,0,2,0,11,0,12,2,0,3,2,0,0,12,6,3,1,1,1,2,2,0,0,0,0,1,0,0,1,1,14,6,1,0,0,1,2,0,0,4,0,0,0,0,93,4869,1.91004313
1960,Eisenhower,Republican,0,0,0,1,0,0,1,0,6,3,1,13,1,3,1,0,1,2,0,1,6,6,0,0,0,0,3,3,0,0,0,0,1,1,0,1,2,9,6,0,0,0,2,2,0,0,7,0,2,0,0,85,5628,1.510305615
1961,Eisenhower,Republican,0,0,0,1,1,0,1,0,0,2,1,10,0,7,12,1,2,1,0,1,5,4,2,0,5,4,1,0,0,0,0,0,2,0,0,0,0,2,0,0,2,2,0,0,1,1,5,1,5,0,6,88,6188,1.422107304
1962,Kennedy,Democratic,0,0,0,2,7,4,0,0,0,3,0,10,0,11,6,1,1,0,0,2,11,4,12,8,4,4,10,0,0,0,0,0,0,0,0,0,1,9,4,5,1,1,3,0,1,0,10,1,9,2,2,149,6436,2.315102548
1963,Kennedy,Democratic,0,0,0,1,2,2,0,0,0,2,0,10,0,6,4,0,1,0,0,2,9,3,5,3,0,0,3,0,0,0,0,0,0,0,0,2,3,1,0,4,1,1,1,0,2,0,21,2,6,0,1,98,5326,1.840030041
1964,Johnson,Democratic,0,0,0,0,0,0,0,0,0,1,0,3,0,3,11,0,2,0,0,1,0,1,10,5,1,0,2,1,0,0,0,0,0,0,0,3,9,0,0,0,0,0,3,0,1,0,10,0,2,1,5,75,3187,2.353310323
1965,Johnson,National Union   [i]   ( Democratic )   [j],0,0,0,0,2,0,0,0,0,3,0,3,0,6,2,0,0,0,0,1,5,0,1,0,1,1,1,1,0,0,0,0,0,0,0,2,4,3,1,3,0,0,5,0,0,0,2,1,3,0,1,52,4394,1.183431953
1966,Johnson,National Union   [i]   ( Democratic )   [j],0,0,1,0,1,0,0,0,0,1,0,4,0,2,1,0,1,0,0,0,4,2,3,2,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,2,1,0,0,10,2,3,0,1,47,5255,0.894386299
1967,Johnson,Democratic,0,0,0,1,2,0,0,0,0,3,0,7,0,6,2,0,1,0,0,0,2,1,6,2,3,1,0,0,0,0,0,0,0,0,0,3,5,10,5,0,1,0,2,1,0,0,14,5,4,0,1,88,7111,1.237519336
1968,Johnson,Democratic,0,0,0,0,10,1,0,0,0,0,0,3,0,1,2,3,1,2,0,0,3,1,7,5,0,0,3,0,0,0,1,1,0,0,0,1,1,6,3,0,0,0,1,1,2,1,10,1,3,3,0,77,4855,1.585993821
1969,Johnson,National Union   [i]   ( Democratic )   [j],0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,0,1,0,0,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,1,0,0,5,0,2,0,2,36,4107,0.876552228
1970,Nixon,Republican,0,0,0,0,0,0,0,0,4,4,0,6,0,1,1,0,0,0,0,1,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,3,0,0,0,4,0,0,0,1,1,0,0,0,52,4455,1.167227834
1971,Nixon,Republican,0,0,0,0,1,0,0,0,0,0,0,1,0,8,9,0,0,2,0,0,2,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,2,0,1,2,48,4475,1.072625698
1972,Nixon,Republican,0,0,0,0,3,0,0,0,0,0,0,0,0,1,6,0,3,0,0,2,1,4,5,3,0,0,4,4,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,10,5,1,0,2,59,3967,1.487269977
1973,Nixon,Republican,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,1,0,0,28,1655,1.6918429
1974,Nixon,Republican,0,0,0,0,1,1,0,0,0,0,0,3,0,3,0,1,0,0,0,0,2,3,6,4,1,1,2,2,0,0,0,0,0,0,0,1,0,5,2,3,0,0,1,0,0,0,6,2,4,0,0,54,5154,1.047729919
1975,Ford,Republican,0,0,1,0,1,0,0,0,1,1,0,13,0,4,0,0,0,0,0,0,8,8,6,5,0,0,1,1,0,0,0,0,0,0,0,1,0,9,4,1,1,1,0,0,0,0,29,10,2,1,0,109,4103,2.656592737
1976,Ford,Republican,0,0,1,0,2,1,0,0,0,1,0,3,0,14,5,0,1,1,0,0,10,7,18,11,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,4,3,1,1,1,1,0,19,4,0,1,4,127,4951,2.565138356
1977,Ford,Republican,0,0,0,0,1,0,0,0,0,0,0,9,0,5,1,0,0,1,0,0,4,4,8,8,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,4,0,0,2,0,2,0,7,1,2,1,1,68,4640,1.465517241
1978,Carter,Democratic,0,0,0,0,2,1,0,0,0,3,0,15,0,11,8,0,0,0,0,0,6,17,14,10,0,0,0,0,0,0,0,0,0,0,0,1,1,11,3,0,0,0,0,1,0,0,18,3,6,1,6,138,4580,3.013100437
1979,Carter,Democratic,0,0,0,0,0,0,0,0,0,1,0,6,0,8,2,0,1,1,0,0,1,15,6,4,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3,1,0,0,1,0,0,1,0,3,1,2,63,3243,1.942645698
1980,Carter,Democratic,0,0,0,0,0,0,0,0,0,5,0,6,0,2,0,1,0,0,0,0,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,1,0,0,37,3396,1.089517079
1981,Carter,Democratic,0,0,5,2,15,8,0,0,2,8,1,92,0,35,32,3,3,21,0,4,29,23,28,18,12,4,25,8,0,0,0,0,3,0,0,10,4,37,20,4,6,5,3,5,5,0,27,0,27,5,7,546,33564,1.626742939
1982,Reagan,Republican,0,0,0,0,0,0,1,0,1,1,0,12,0,8,7,0,1,2,0,0,10,10,8,7,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,6,0,0,0,6,0,0,29,9,1,2,7,133,5195,2.560153994
1983,Reagan,Republican,0,0,0,3,1,0,0,0,4,1,0,18,0,7,8,0,0,2,0,2,11,12,15,8,1,0,5,2,0,0,0,0,2,1,0,0,0,2,1,2,2,1,1,5,0,0,14,1,10,3,5,150,5572,2.692031587
1984,Reagan,Republican,0,0,0,0,1,1,3,0,1,1,0,11,0,5,1,0,0,0,0,0,8,6,5,4,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,4,0,0,21,7,2,0,1,90,4973,1.809772773
1985,Reagan,Republican,0,0,0,3,1,1,0,0,0,0,0,7,0,14,2,0,0,2,0,0,14,1,10,8,0,0,3,1,0,0,0,0,0,0,0,0,3,3,1,0,0,0,1,2,0,0,23,2,6,1,1,110,4250,2.588235294
1986,Reagan,Republican,0,0,0,1,0,0,0,0,0,1,0,5,0,3,1,1,0,2,0,0,5,1,2,2,0,0,2,2,0,0,2,0,0,0,0,2,2,2,2,0,0,0,2,1,0,0,12,3,3,0,0,59,3507,1.682349587
1987,Reagan,Republican,0,0,0,2,0,0,0,0,0,1,0,3,0,1,1,1,0,1,0,0,1,1,4,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,9,0,1,37,3803,0.972916119
1988,Reagan,Republican,0,0,0,1,0,0,0,0,1,1,0,10,0,3,2,1,0,1,0,0,6,2,5,4,0,0,2,1,0,0,0,0,0,0,0,3,6,0,0,0,0,0,2,0,0,0,1,0,7,0,0,59,4855,1.215242019
1989,Bush,Republican,0,0,0,1,0,0,0,0,0,3,0,8,0,0,1,0,1,1,0,0,8,3,5,2,0,0,2,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,4,0,0,9,4,0,0,1,60,4821,1.244555072
1990,Bush,Republican,0,0,0,2,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,1,1,0,3,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1,0,0,0,25,3770,0.663129973
1991,Bush,Republican,0,0,0,0,0,0,0,0,1,1,0,7,0,3,1,0,1,2,0,0,8,3,7,5,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,3,0,0,55,3765,1.460823373
1992,Bush,Republican,0,0,0,1,0,0,0,0,0,1,0,5,0,9,3,0,1,0,0,0,8,2,11,8,2,2,3,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,2,0,0,21,4,4,0,2,96,4718,2.034760492
1993,Clinton,Democratic,0,0,0,2,2,1,0,0,10,5,0,13,0,12,2,0,2,2,0,0,10,1,25,24,7,5,3,2,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,5,0,0,33,6,6,1,1,187,7007,2.668759812
1994,Clinton,Democratic,0,0,0,8,0,0,0,0,1,2,0,9,1,5,6,0,5,1,0,1,3,2,30,20,2,2,4,2,0,0,0,0,0,0,0,1,3,2,1,0,1,0,5,2,0,0,13,5,4,0,4,145,7400,1.959459459
1995,Clinton,Democratic,0,0,0,13,1,1,0,0,1,3,0,5,0,13,1,0,0,2,0,0,3,2,19,12,5,2,2,1,0,0,0,0,0,0,0,3,1,2,2,0,2,2,1,2,0,0,20,5,3,0,1,130,9143,1.421852784
1996,Clinton,Democratic,0,0,0,4,0,0,0,0,1,0,0,3,0,5,1,0,0,0,0,0,0,1,15,8,3,1,4,1,0,0,0,0,8,3,0,2,2,0,0,0,1,1,6,3,1,0,11,3,1,1,1,91,6283,1.448352698
1997,Clinton,Democratic,0,0,0,5,0,0,0,0,1,2,0,4,1,11,1,0,3,1,0,1,2,0,14,7,1,1,4,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,10,4,5,0,1,86,6742,1.27558588
1998,Clinton,Democratic,0,0,0,9,2,1,0,0,1,1,0,3,0,11,2,0,2,1,0,3,2,1,16,10,2,2,10,4,0,0,1,1,0,0,0,4,0,3,0,1,2,0,1,2,0,0,16,0,8,0,1,123,7283,1.688864479
1999,Clinton,Democratic,0,0,0,4,0,0,0,0,2,1,0,5,0,10,2,0,1,3,0,0,3,1,9,4,3,1,4,4,0,0,0,0,3,1,0,3,2,1,1,2,3,2,0,11,0,0,11,1,11,0,1,110,7472,1.472162741
2000,Clinton,Democratic,0,0,0,10,0,0,0,0,8,3,0,12,1,9,4,0,1,1,0,0,7,0,11,5,2,1,10,10,0,0,3,0,1,0,0,4,10,2,2,0,5,4,2,5,0,0,20,0,7,0,3,163,7387,2.206579125
2001,Bush,Republican,0,0,0,0,0,0,0,0,9,3,0,3,0,3,0,0,2,1,0,2,1,2,4,2,0,0,1,1,0,0,0,0,0,0,0,1,1,2,2,0,7,5,0,3,0,0,32,7,4,0,0,98,4395,2.229806598
2002,Bush,Republican,0,0,0,1,0,0,0,0,1,1,0,3,0,4,2,0,0,1,0,1,1,0,13,11,0,0,2,2,0,0,1,0,1,0,0,0,1,3,0,3,5,3,1,0,0,0,7,0,4,0,2,74,3824,1.935146444
2003,Bush,Republican,0,0,0,1,0,0,0,0,0,2,0,3,0,10,1,0,0,0,0,0,1,0,4,2,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,2,1,1,2,0,1,0,13,3,0,0,1,53,5372,0.986597171
2004,Bush,Republican,0,0,0,0,1,1,0,0,0,4,0,3,0,14,0,0,0,0,0,0,7,1,13,6,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,1,0,21,9,2,0,0,97,5171,1.875846065
