year,president,party,afghanistan,afraid,army,battle,combat,conflict,cyber,cybersecurity,enemies,enemy,fear,fears,fight,fights,force,fought,genocide,iran,iraq,isis,israel,jihad,korea,marine,marines,militant,military,missile,missiles,navy,nuclear,proxy,qaeda,russia,soldier,soldiers,soviet,struggle,taliban,terror,terrorism,terrorist,terrorists,threat,threaten,threatens,threats,trench,trenches,troop,troops,ussr,vietnam,war,warfare,wars,wartime,war_total,speech_total,percent_war
1821,Monroe,Democratic-  Republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,19,5823,0.326292289
1822,Monroe,Democratic-  Republican,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,20,0,2,0,45,4734,0.950570342
1823,Monroe,Democratic-  Republican,0,0,3,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,23,0,4,0,54,6382,0.84612974
1824,Monroe,Democratic-  Republican,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,0,10,0,0,5,0,0,0,5,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,10,0,88,8418,1.04537895
1825,Adams,Democratic-  Republican,0,0,2,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,11,0,0,8,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,26,1,1,0,72,9003,0.799733422
1826,Adams,Democratic-  Republican,0,0,6,1,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,30,0,1,0,68,7748,0.877645844
1827,Adams,Democratic-  Republican,0,0,3,0,0,3,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,6,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,25,0,1,0,53,6987,0.758551596
1828,Adams,Democratic-  Republican,0,0,3,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,25,0,4,0,60,7313,0.820456721
1829,Jackson,Democratic,0,0,4,0,0,2,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,2,0,0,4,0,0,8,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,25,1,0,0,61,10523,0.5796826
1830,Jackson,Democratic,0,0,1,0,0,2,0,0,1,0,6,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,14,1,0,0,42,15072,0.27866242
1831,Jackson,Democratic,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,12,0,1,0,31,7189,0.431214355
1832,Jackson,Democratic,0,0,2,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,2,2,0,0,23,1,3,0,50,7875,0.634920635
1833,Jackson,Democratic,0,0,2,0,0,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,0,37,7901,0.468295153
1834,Jackson,Democratic,0,0,3,0,0,4,0,0,0,3,4,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,15,1,0,0,55,13446,0.409043582
1835,Jackson,Democratic,0,0,2,0,0,0,0,0,0,0,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,38,10809,0.351558886
1836,Jackson,Democratic,0,0,5,0,0,2,0,0,0,2,3,0,0,0,11,0,0,0,0,2,0,0,0,1,0,0,4,0,0,5,0,0,0,2,1,1,0,4,0,0,0,0,0,1,1,0,0,0,0,6,6,0,0,21,0,0,0,78,12355,0.631323351
1837,Buren,Democratic,0,0,9,0,0,5,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,23,0,1,0,62,11438,0.542052806
1838,Buren,Democratic,0,0,3,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,8,0,0,2,0,0,0,8,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,29,1,0,0,71,11478,0.618574665
1839,Buren,Democratic,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,27,0,0,0,56,13419,0.417318727
1840,Buren,Democratic,0,0,5,0,0,1,0,0,0,2,1,0,0,0,6,0,0,0,0,2,0,0,0,1,0,0,1,0,0,2,0,0,0,2,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,6,6,0,0,8,0,0,0,51,8979,0.567991981
1841,Tyler,"Whig   April 4, 1841  â€“  September 13, 1841",0,0,0,0,0,3,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0,0,0,30,8240,0.36407767
1842,Tyler,"Whig   April 4, 1841  â€“  September 13, 1841",0,0,1,0,0,2,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,1,0,0,24,0,1,0,55,8401,0.654683966
1843,Tyler,"Whig   April 4, 1841  â€“  September 13, 1841",0,0,1,1,1,2,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,27,2,2,0,58,8026,0.722651383
1844,Tyler,"Whig   April 4, 1841  â€“  September 13, 1841",0,0,1,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,2,1,0,0,1,0,0,0,0,0,7,5,0,1,0,0,1,1,0,0,27,1,0,0,63,9309,0.676764422
1845,Polk,Democratic,0,0,10,0,0,1,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,6,1,1,0,1,0,0,0,0,0,2,2,0,0,0,0,3,3,0,0,35,0,1,0,102,16112,0.63306852
1846,Polk,Democratic,0,0,29,3,0,1,0,0,0,9,0,0,1,0,22,2,0,0,0,0,0,0,0,0,0,0,17,0,0,5,0,0,0,0,5,4,0,3,0,0,0,0,0,6,4,0,2,0,0,3,3,0,0,89,1,0,0,209,18221,1.147028154
1847,Polk,Democratic,0,0,40,1,0,1,0,0,0,27,1,0,0,0,37,0,0,0,0,0,0,0,0,1,0,0,30,0,0,14,0,0,0,0,4,4,0,1,0,0,0,0,0,2,2,0,0,1,0,8,8,0,0,116,3,1,0,302,16411,1.840229115
1848,Polk,Democratic,0,0,22,5,0,4,0,0,1,5,2,0,0,0,18,2,0,0,0,0,0,0,0,4,1,0,13,0,0,19,0,0,0,2,6,6,0,3,0,0,0,0,0,2,2,1,0,0,0,4,4,0,0,85,0,0,0,211,21290,0.991075622
1849,Taylor,Whig,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16,0,3,0,47,7619,0.616878855
1850,Fillmore,Whig,0,0,3,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,42,8318,0.504929069
1851,Fillmore,Whig,0,0,4,0,0,3,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,12,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,7,7,0,0,25,1,1,0,90,13243,0.679604319
1852,Fillmore,Whig,0,0,3,1,0,1,0,0,0,0,2,0,1,0,6,1,0,0,0,0,0,0,0,2,0,0,3,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,59,9922,0.594638178
1853,Pierce,Democratic,0,0,2,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,3,0,0,5,0,0,0,0,1,1,0,2,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,22,0,0,0,48,9587,0.500678001
1854,Pierce,Democratic,0,0,9,0,1,2,0,0,1,4,4,0,1,0,20,0,0,0,0,0,0,0,0,5,0,0,9,1,0,7,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,4,4,0,0,32,0,0,0,109,10134,1.075587132
1855,Pierce,Democratic,0,0,3,1,0,0,0,0,2,0,1,1,0,0,12,0,0,0,0,1,0,0,0,2,0,0,8,0,0,3,0,0,0,3,3,2,0,2,0,0,0,0,0,1,0,0,0,0,0,8,8,0,0,31,0,3,0,95,11610,0.818260121
1856,Pierce,Democratic,0,0,3,1,0,5,0,0,3,1,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,5,0,0,4,0,0,0,4,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,18,0,0,0,67,10473,0.639740285
1857,Buchanan,Democratic,0,0,3,0,0,2,0,0,1,2,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,10,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,30,0,1,0,78,13651,0.571386712
1858,Buchanan,Democratic,0,0,5,0,0,1,0,0,0,0,0,0,0,0,26,0,0,0,0,2,0,0,0,0,0,0,7,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,7,7,0,0,34,0,2,0,107,16347,0.654554352
1859,Buchanan,Democratic,0,0,6,0,0,3,0,0,0,2,0,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,7,0,0,7,0,0,0,2,0,0,0,2,0,0,0,0,0,5,5,0,0,2,0,3,3,0,0,40,0,1,0,117,12336,0.94844358
1860,Buchanan,Democratic,0,0,5,2,0,4,0,0,0,0,4,2,1,0,19,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,3,1,1,0,1,0,0,0,0,0,3,3,0,0,1,0,1,1,0,0,41,0,0,0,103,14025,0.734402852
1861,Lincoln,Republican   ( National Union )   [i],0,0,9,0,0,2,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,17,0,0,0,59,6976,0.845756881
1862,Lincoln,Republican   ( National Union )   [i],0,0,0,0,0,0,0,0,1,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,26,0,0,0,53,8392,0.631553861
1863,Lincoln,Republican   ( National Union )   [i],0,0,5,0,0,3,0,0,0,0,1,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,9,0,0,14,0,0,0,1,2,2,0,1,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,22,1,1,0,77,6111,1.26002291
1864,Lincoln,Republican   ( National Union )   [i],0,0,4,2,0,0,0,0,1,1,0,0,1,0,4,1,0,0,0,1,0,0,0,0,0,0,5,0,0,11,0,0,0,2,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,36,0,1,0,82,5989,1.369176824
1865,Johnson,National Union   [i]   ( Democratic )   [j],0,0,4,0,0,3,0,0,0,0,1,1,0,0,12,0,0,0,0,0,0,0,0,1,0,0,8,0,0,3,0,0,0,1,3,3,0,2,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,26,0,1,0,74,9218,0.802777175
1866,Johnson,Democratic,0,0,2,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,8,0,0,3,0,0,0,4,3,2,0,1,0,0,0,0,0,1,1,0,0,2,0,1,1,0,0,30,0,1,0,73,7127,1.024273888
1867,Johnson,Democratic,0,0,6,2,0,5,0,0,3,3,1,1,1,0,14,1,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,39,0,2,0,106,11981,0.884734162
1868,Johnson,Democratic,0,0,7,0,0,2,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,45,0,2,0,85,9817,0.865844963
1869,Grant,Republican,0,0,8,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,4,0,0,3,0,0,0,3,1,1,0,4,0,0,0,0,0,1,1,1,0,0,0,3,3,0,0,25,0,1,0,66,7702,0.85692028
1870,Grant,Republican,0,0,6,0,0,1,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,3,0,0,6,0,0,0,1,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,31,0,0,0,65,8736,0.744047619
1871,Grant,Republican,0,0,2,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,2,0,0,2,0,0,7,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,16,0,0,0,46,6458,0.712294828
1872,Grant,Republican,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,2,0,0,19,0,0,0,36,3989,0.902481825
1873,Grant,Republican,0,0,4,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,2,1,0,4,0,0,11,0,0,0,2,2,2,0,1,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,32,0,0,0,78,10022,0.778287767
1874,Grant,Republican,0,0,4,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,2,1,1,0,0,0,1,0,0,0,3,1,0,2,0,0,2,2,0,0,17,1,0,0,56,9194,0.609092887
1875,Grant,Republican,0,0,3,0,0,8,0,0,0,0,1,0,2,0,9,0,0,0,0,0,0,0,0,3,0,0,2,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,27,2,0,0,74,12203,0.60640826
1876,Grant,Republican,0,0,6,0,0,1,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,1,1,0,2,2,0,0,21,0,0,0,53,6793,0.780214927
1877,Hayes,Republican,0,0,10,1,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,0,0,18,0,0,0,58,8017,0.723462642
1878,Hayes,Republican,0,0,5,0,0,2,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,14,0,0,0,48,7881,0.609059764
1879,Hayes,Republican,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,2,0,0,8,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,22,0,0,0,59,11632,0.507221458
1880,Hayes,Republican,0,0,0,0,0,2,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11,0,0,0,29,6697,0.433029715
1881,Arthur,Republican,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,13,0,0,0,27,3822,0.706436421
1882,Arthur,Republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,16,3067,0.521682426
1883,Arthur,Republican,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,0,0,0,2,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,0,0,27,3784,0.713530655
1884,Arthur,Republican,0,0,7,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,4,0,0,2,0,0,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,20,1,0,0,52,8947,0.581200402
1885,Cleveland,Democratic,0,0,13,1,0,2,0,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,4,1,0,0,10,0,0,15,0,0,0,3,5,4,0,1,0,0,0,0,0,5,5,1,0,0,0,3,3,0,0,44,0,0,0,138,19746,0.698875722
