year,president,party,asylum,border,borders,canada,citizen,citizens,citizenship,cross,crossing,cuba,customs,deport,deportation,deportations,deported,detain,detained,documented,emigration,ethnic,foreign,foreigner,hispanic,illegal,immigrant,immigrants,immigrate,immigration,labor,laborers,latin,latino,mexican,mexico,migrant,migrants,minorities,minority,naturalization,naturalized,racial,racism,racist,refugee,refugees,separate,separated,undocumented,immigration_total,speech_total,percent_immigration
1901,Roosevelt,Republican,0,0,0,0,13,10,0,2,0,8,1,1,0,0,1,0,0,0,0,0,23,3,0,1,3,1,0,4,17,3,2,0,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,103,19595,0.525644297
1902,Roosevelt,Democratic,0,1,1,0,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,1,11,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,42,9756,0.430504305
1903,Roosevelt,Republican,0,3,0,0,19,18,5,17,3,0,4,0,0,0,0,0,0,0,0,0,20,3,0,0,5,5,0,3,20,1,4,0,0,5,5,5,0,0,5,1,0,0,0,0,0,0,0,0,151,14876,1.015057811
1904,Roosevelt,Democratic,0,2,2,0,27,22,9,1,0,5,1,0,0,0,0,0,0,0,0,0,13,0,0,0,1,1,0,2,35,1,4,0,0,0,1,1,0,0,20,0,1,0,0,0,0,2,1,0,152,17406,0.873262094
1905,Roosevelt,Democratic,0,0,0,1,31,24,13,1,0,2,6,0,0,0,0,0,0,0,0,0,34,1,0,2,17,17,0,15,33,6,2,0,0,2,17,17,0,0,6,1,0,0,0,0,0,3,2,0,253,25033,1.010665921
1906,Roosevelt,Republican,0,1,0,1,28,23,4,5,0,15,1,0,0,0,0,0,0,0,0,0,8,2,0,1,1,1,0,1,29,0,2,0,1,5,1,1,0,0,1,0,0,0,0,0,0,1,0,0,133,23575,0.564156946
1907,Roosevelt,Democratic,0,1,1,3,18,15,2,1,0,4,5,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,36,0,6,0,2,10,0,0,0,1,0,0,0,0,0,0,0,2,1,0,126,27382,0.460156307
1908,Roosevelt,Democratic,0,0,0,0,10,10,3,3,0,4,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,34,1,8,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,87,19383,0.448846928
1909,Taft,Republican,0,1,0,4,9,8,0,2,0,2,8,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,2,8,1,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,75,13889,0.53999568
1910,Taft,Republican,0,0,0,7,7,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,1,0,8,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54,6763,0.798462221
1911,Taft,Republican,0,15,0,0,10,9,0,6,0,1,3,0,0,0,0,0,0,0,0,0,51,0,0,5,0,0,0,3,16,2,8,0,19,20,0,0,0,0,2,0,0,0,0,1,1,2,0,0,174,23704,0.734053324
1912,Taft,Republican,0,2,1,3,27,19,5,2,0,5,8,0,0,0,0,0,0,0,0,0,75,3,0,0,0,0,0,0,9,0,8,0,4,6,0,0,0,1,0,0,1,0,0,0,0,4,1,0,184,25150,0.731610338
1913,Wilson,Democratic,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3552,0.478603604
1914,Wilson,Democratic,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4533,0.066181337
1915,Wilson,Democratic,0,4,4,0,8,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,1,0,39,7686,0.507416081
1916,Wilson,Democratic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2117,0.283419934
1917,Wilson,Democratic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3913,0.076667519
1918,Wilson,Democratic,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5465,0.21957914
1919,Wilson,Democratic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,27,4755,0.567823344
1920,Wilson,Democratic,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2705,0.147874307
1921,Harding,Republican,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5604,0.446109921
1922,Harding,Republican,0,0,0,0,5,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,13,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,38,5744,0.661559889
1923,Coolidge,Republican,0,0,0,1,13,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,6,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,56,6701,0.835696165
1924,Coolidge,Republican,0,0,0,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,29,6964,0.416427341
1925,Coolidge,Republican,0,1,1,1,5,5,1,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,10843,0.350456516
1926,Coolidge,Republican,0,1,1,0,6,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10308,0.339542103
1927,Coolidge,Republican,0,0,0,3,9,9,2,2,0,4,1,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,1,6,0,3,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,53,8777,0.603850974
1928,Coolidge,Republican,0,1,1,1,7,6,0,2,0,8,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,8060,0.595533499
1929,Hoover,Republican,0,1,0,2,9,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,1,0,2,4,0,4,0,2,4,2,1,0,0,0,0,0,0,0,0,0,2,1,0,60,10993,0.545801874
1930,Hoover,Republican,0,3,1,0,3,3,0,3,0,0,0,2,2,0,0,0,0,0,0,0,5,0,0,0,1,1,0,3,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,33,4546,0.72591289
1931,Hoover,Republican,0,0,0,1,4,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5686,0.457263454
1932,Hoover,Republican,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4210,0.118764846
1934,Roosevelt,Republican,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2223,0.584795322
1935,Roosevelt,Republican,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3515,0.227596017
1936,Roosevelt,Democratic,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,3810,0.393700787
1937,Roosevelt,Democratic,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2730,0.256410256
1938,Roosevelt,Democratic,0,0,0,0,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,30,4677,0.641436818
1939,Roosevelt,Republican,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3736,0.428265525
1940,Roosevelt,Democratic,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3170,0.347003155
1941,Roosevelt,Republican,0,1,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3288,0.51703163
1942,Roosevelt,Republican,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,3470,0.201729107
1943,Roosevelt,Republican,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4533,0.110302228
1944,Roosevelt,Democratic,0,0,0,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,18,3755,0.479360852
1945,Roosevelt,Democratic,0,0,0,0,3,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,8124,0.221565731
1946,Truman,Democratic,0,0,0,0,7,5,0,1,1,0,2,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,35,0,3,0,0,2,0,0,0,0,0,0,0,0,0,2,2,3,0,0,88,27722,0.317437414
1947,Truman,Democratic,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,49,6033,0.812199569
1948,Truman,Democratic,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,30,5091,0.589275192
1949,Truman,Democratic,0,1,1,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3397,0.677068001
1950,Truman,Democratic,0,1,1,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5126,0.526726492
1951,Truman,Democratic,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3988,0.325977934
1952,Truman,Democratic,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,5334,0.243719535
1953,Truman,Democratic,0,3,2,0,11,7,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9599,0.343785811
1954,Eisenhower,Republican,0,0,0,2,17,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,49,5974,0.820220957
1955,Eisenhower,Republican,0,0,0,0,23,17,1,1,0,0,1,1,1,0,0,1,1,0,0,0,6,0,0,0,0,0,0,2,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,66,7234,0.912358308
1956,Eisenhower,Republican,0,0,0,1,8,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,3,10,0,1,0,0,0,5,5,0,0,0,0,0,0,0,1,0,0,0,0,58,8245,0.70345664
1957,Eisenhower,Republican,1,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,25,4129,0.60547348
1958,Eisenhower,Republican,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,4911,0.203624516
1959,Eisenhower,Republican,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,4869,0.390223865
1960,Eisenhower,Republican,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,5628,0.319829424
1961,Eisenhower,Republican,0,0,0,1,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,21,6188,0.339366516
1962,Kennedy,Democratic,0,0,0,0,7,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,6436,0.590428838
1963,Kennedy,Democratic,0,3,1,0,6,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5326,0.563274502
1964,Johnson,Democratic,0,2,1,0,5,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,24,3187,0.753059303
1965,Johnson,National Union   [i]   ( Democratic )   [j],0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4394,0.318616295
1966,Johnson,National Union   [i]   ( Democratic )   [j],0,1,1,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,5255,0.418648906
1967,Johnson,Democratic,0,0,0,0,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,7111,0.323442554
1968,Johnson,Democratic,0,1,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4855,0.267765191
1969,Johnson,National Union   [i]   ( Democratic )   [j],0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,4107,0.170440711
1970,Nixon,Republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,4455,0.157126824
1971,Nixon,Republican,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,4475,0.245810056
1972,Nixon,Republican,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3967,0.201663726
1973,Nixon,Republican,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1655,0.362537764
1974,Nixon,Republican,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5154,0.155219247
1975,Ford,Republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,4103,0.219351694
1976,Ford,Republican,0,0,0,0,8,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,28,4951,0.565542315
1977,Ford,Republican,0,0,0,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,23,4640,0.495689655
1978,Carter,Democratic,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,28,4580,0.611353712
1979,Carter,Democratic,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,3243,0.339192106
1980,Carter,Democratic,0,1,1,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,3396,0.412249706
1981,Carter,Democratic,2,3,1,0,25,22,0,8,0,8,0,0,0,0,0,0,0,2,0,1,29,0,2,4,1,1,0,8,10,0,11,0,3,8,1,1,7,14,0,0,1,0,0,29,14,3,0,0,219,33564,0.652484805
1982,Reagan,Republican,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,5195,0.30798845
1983,Reagan,Republican,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5572,0.32304379
1984,Reagan,Republican,0,0,0,1,4,2,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,17,4973,0.341845968
1985,Reagan,Republican,0,0,0,0,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,4250,0.329411765
1986,Reagan,Republican,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3507,0.142571999
1987,Reagan,Republican,0,1,1,1,3,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3803,0.447015514
1988,Reagan,Republican,0,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,4855,0.226570546
1989,Bush,Republican,0,1,1,2,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4821,0.290396183
1990,Bush,Republican,0,0,0,0,3,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12,3770,0.318302387
1991,Bush,Republican,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,3765,0.239043825
1992,Bush,Republican,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4718,0.084781687
1993,Clinton,Democratic,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7007,0.156985871
1994,Clinton,Democratic,0,1,1,1,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,15,7400,0.202702703
1995,Clinton,Democratic,0,5,4,0,22,22,4,3,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,6,3,3,0,2,0,0,3,0,1,4,3,3,0,2,0,0,0,0,0,0,0,0,0,0,95,9143,1.039046265
1996,Clinton,Democratic,0,3,2,0,11,10,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,4,3,0,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,2,2,1,1,0,60,6283,0.954957823
1997,Clinton,Democratic,0,0,0,0,11,7,1,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,4,0,0,1,0,2,0,0,3,4,4,0,0,0,0,1,0,0,0,0,0,0,0,52,6742,0.771284485
1998,Clinton,Democratic,0,2,1,0,9,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,3,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,40,7283,0.549224221
1999,Clinton,Democratic,0,0,0,0,3,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,3,0,0,0,0,0,2,2,0,1,0,0,3,0,0,0,0,0,0,0,28,7472,0.374732334
2000,Clinton,Democratic,0,1,1,0,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,30,7387,0.406118857
2001,Bush,Republican,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,13,4395,0.295790671
2002,Bush,Republican,0,3,1,0,9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,3824,0.706066946
2003,Bush,Republican,0,1,1,0,10,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,33,5372,0.614296351
2004,Bush,Republican,0,2,1,0,6,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5171,0.541481338
2005,Bush,Republican,0,3,0,0,7,6,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,26,5049,0.514953456
2006,Bush,Republican,0,4,2,0,9,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,35,5321,0.657771096
2007,Bush,Republican,0,7,2,0,11,9,0,4,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,4,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,50,5598,0.893176134
2008,Bush,Republican,0,5,1,1,10,10,0,8,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,5752,0.83449235
2009,Obama,Democratic,0,1,1,0,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5940,0.235690236
2010,Obama,Democratic,0,2,2,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,32,7106,0.45032367
2011,Obama,Democratic,0,4,3,0,3,3,0,6,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,1,1,1,0,1,3,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,40,6940,0.576368876
2012,Obama,Democratic,0,2,1,0,6,6,1,4,2,0,0,1,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,35,6987,0.500930299
2013,Obama,Democratic,0,2,0,0,9,9,1,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,3,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,41,6467,0.633987939
2014,Obama,Democratic,0,0,0,0,6,5,4,5,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6778,0.41310121
2015,Obama,Democratic,0,1,1,0,2,1,0,4,0,5,1,0,0,0,0,0,0,0,0,1,3,0,0,0,2,1,0,2,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,31,6727,0.460829493
